"","Watershed","Site","SampleDate","Organization","VisitID","Category","StreamName","VisitYear","LON_DD","LAT_DD","ValleyClass","Channel_Type","CUMDRAINAG","DistPrin1","NatPrin1","NatPrin2","MeanU","SlowWater_Area","SlowWater_Ct","SlowWater_Vol","SlowWater_Pct","FstTurb_Area","FstTurb_Ct","FstTurb_Vol","FstTurb_Pct","FstNT_Ct","FstNT_Vol","FstNT_Pct","Grad","Sin","Lgth_Wet","Area_Wet","WetVol","WetWdth_Int","WetBraid","DpthWet_SD","WetWdth_CV","WetWdth_Avg","WetSCWdth","SlowWater_Freq","FstTurb_Freq","FstNT_Freq","DpthThlwg_Avg","PoolResidDpth","WetSCL_Area","SCSm_Area","WetSC_Pct","SCSm_Freq","SCSm_Vol","Q","SubD16","SubD50","SubD84","Cond","FishCovLW","FishCovTVeg","FishCovArt","FishCovNone","FishCovAqVeg","FishCovTotal","SC_Area","SC_Area_Pct","ChnlUnitTotal_Ct","CU_Ct","CU_Freq","SubEstBldr","SubEstCbl","SubEstSandFines","SubEstGrvl","LWVol_Wet","LWVol_WetFstNT","LWVol_WetFstTurb","LWVol_WetSlow","UcutArea","UcutLgth","LWcnt_Wet","LWFreq_Wet","UcutLgth_Pct","UcutArea_Pct"
"11","Upper Grande Ronde","CBW05583-148970","2014-07-09","Columbia River Inter-Tribal Fish Commission",2015,"Upper Grande Ronde Chinook","Grande Ronde River",2014,-118.31308,45.06568,"Depositional","Island_braided",105.356,-0.79,-1.12,0.46,27.3,929.3039,10,333.1332,46.7586,1058.1467,5,212.5766,53.2414,0,0,0,1.2766,1.1714,199.9881,1987.3405,545.7098,9.9373,1,0.1697,0.2779,9.9733,NA,5.0003,2.5001,0,0.4467,0.2742,0,0,0,0,0,0.7426,6,26,115,51.6,16.9286,4.2408,0,78.6708,0.3045,21.474,0,0,15,15,7.50044627655345,6.7901,17.097,48.4344,27.6785,44.6759843701146,NA,18.8895091261108,25.7864752440038,2.273,4.7,107,53.5031834394146,0.0235013983332008,0.00114373958564222
"12","Upper Grande Ronde","CBW05583-138554","2014-06-21","Columbia River Inter-Tribal Fish Commission",2016,"Upper Grande Ronde Chinook","Sheep Creek",2014,-118.45523,45.06029,"Transport","Pool-riffle",54.016,-0.14,-0.63,0.28,10,415.3168,12,99.1399,61.6462,173.2751,5,21.1634,25.7195,1,19.1952,12.6343,0.9439,1.3676,169.0615,673.7101,139.4985,3.985,1.1144,0.1246,0.2808,3.7389,2.057,7.098,2.9575,0.5915,0.3044,0.2777,44.7033,0,6.6354,0,0,0.1823,7,33,65,55,10.0406,5.3242,0,83.6102,1.0635,16.4284,0,0,18,18,10.6470130692085,1.6361,35.9167,17.0085,45.4387,12.0988890611344,0.0623449062104894,0.960029874232544,11.0765142806914,13.197,31.25,32,18.9280232341485,0.184843976895982,0.0195885440933719
"13","Upper Grande Ronde","CBW05583-206314","2014-07-12","Columbia River Inter-Tribal Fish Commission",2017,"Upper Grande Ronde Chinook","Grande Ronde River",2014,-118.32429,45.07499,"Depositional","Island_braided",105.356,-0.79,-1.12,0.46,27.3,258.1319,7,89.0022,19.3514,1075.789,10,293.1072,80.6486,0,0,0,4.9301,1.4874,167.8883,1347.9597,382.2457,8.0289,1.2679,0.1626,0.2711,7.2042,3.7502,4.1694,5.9563,0,0.4497,0.3892,146.555,0,10.9868,0,0,0.5404,10,82,272,46.4,4.5412,6.5833,0,88.8755,0,11.1245,0,0,17,17,10.1257800573357,39.2925,23.3012,16.4325,20.9739,10.4411460160587,NA,5.10793120343491,5.33321481262384,0.726,1.1,29,17.2733895095727,0.00655197533121725,0.00053859176947204
"14","Upper Grande Ronde","CBW05583-228666","2014-07-23","Columbia River Inter-Tribal Fish Commission",2018,"Upper Grande Ronde Chinook","Sheep Creek",2014,-118.46477,45.03864,"Transport","Pool-riffle",43.26,-0.14,-0.63,0.28,8.63,209.607,8,34.2215,42.882,279.1927,6,22.0984,57.118,0,0,0,1.83,1.1844,127.348,489.2386,56.32,3.8417,1,0.0878,0.2877,3.5805,NA,6.282,4.7115,0,0.1866,0.1729,0,0,0,0,0,0.0591,9,39,122,74.5,6.5957,9.9951,0,82.895,0.5141,17.105,0,0,14,14,10.9934981311053,2.5111,19.6833,21.9752,55.8304,1.01211119724376,NA,0.467916663807298,0.544194533436458,18.9802,25.55,11,8.63774853158275,0.200631340892672,0.0387953853191469
"15","Upper Grande Ronde","CBW05583-235322","2014-07-26","Columbia River Inter-Tribal Fish Commission",2019,"Upper Grande Ronde Chinook","Grande Ronde River",2014,-118.37903,45.15707,"Depositional","Confined",360.228,0.14,-0.66,0.15,69.94,743.1963,6,150.3432,18.7547,2771.5071,9,366.0801,69.9393,3,104.6146,11.306,0.9098,1.122,333.3609,3962.7294,621.0379,11.8872,1.5801,0.1014,0.2514,9.3397,4.5036,1.7999,2.6998,0.8999,0.2244,0.3785,806.3133,0,20.3474,0,0,0.4951,0.5862,44,106,62.3,2.9564,1.8429,0,95.2007,0,4.7993,0,0,18,18,5.39955345692911,5.4313,37.2459,31.5922,24.7581,32.0146669717823,NA,7.65059492558108,24.3640720462013,69.789,46.8,27,8.09933018539367,0.140388389880157,0.0176113463614245
"16","Upper Grande Ronde","CBW05583-269114","2014-09-07","Columbia River Inter-Tribal Fish Commission",2020,"Upper Grande Ronde Chinook","Grande Ronde River",2014,-118.38762,45.25392,"Depositional","Island_braided",530.34198,0.14,-0.66,0.15,94.68,881.8501,5,293.7629,18.9302,2076.0153,6,246.1039,44.5647,3,269.0264,31.0196,0.7077,1.2599,411.2236,4658.4431,821.6588,11.3282,1.2042,0.1592,0.338,10.6657,3.3076,1.2159,1.4591,0.7295,0.3252,0.5291,0,255.538,5.4855,0.2432,12.7655,0.265,36,66,110,84.8,2.0629,2.6832,0,92.7084,2.5455,7.2916,468.3,10.0527,14,14,3.40447386774495,0.4401,28.4843,22.6449,48.4308,0.507898142713208,0.507898142713208,NA,NA,19.88,32,2,0.486353409677849,0.0778165455484559,0.00426752019360288
"17","Upper Grande Ronde","CBW05583-280042","2014-07-01","Columbia River Inter-Tribal Fish Commission",2021,"Upper Grande Ronde Chinook","Grande Ronde River",2014,-118.30002,45.05775,"Transport","Pool-riffle",64.379,-0.79,-1.12,0.46,17.53,374.3722,4,131.1317,36.559,649.6486,2,172.6875,63.441,0,0,0,0.6074,1.125,164.8802,1024.0209,303.8192,6.2107,1,0.1422,0.1191,6.2093,NA,2.426,1.213,0,0.4169,0.1816,0,0,0,0,0,0.9929,36,58,94,35.5,2.8006,2.4948,0,86.7577,7.947,13.2423,0,0,6,6,3.63900577510216,2.7267,21.6656,39.3346,36.2731,12.197971751836,NA,0.89950080857583,11.2984709432601,0.481,1.85,27,16.3755259879597,0.011220267806565,0.000469716975503137
"18","Upper Grande Ronde","CBW05583-321338","2014-08-12","Columbia River Inter-Tribal Fish Commission",2022,"Upper Grande Ronde Chinook","Grande Ronde River",2014,-118.3649,45.14213,"Depositional","Island_braided",350.34698,0.14,-0.66,0.15,67.68,419.4702,3,192.7475,13.0389,2338.1008,8,559.3362,72.6783,2,92.0003,14.2828,2.8464,1.1063,364.734,3217.0602,844.0841,8.8203,1,0.2021,0.2451,8.4529,NA,0.8225,2.1934,0.5483,0.4247,0.7279,84.9641,0,2.6411,0,0,0.3775,13,54,159,71.5,4.9877,0.1321,0,94.8802,0,5.1198,0,0,13,13,3.56424133752269,19.893,19.3727,28.1746,21.6607,18.1070381416683,NA,8.33732901549805,9.76970912617027,1.66,2,16,4.38675856925869,0.00548344821157337,0.000515999047826335
"19","Upper Grande Ronde","CBW05583-457530","2014-09-17","Columbia River Inter-Tribal Fish Commission",2023,"Upper Grande Ronde Chinook","Grande Ronde River",2014,-118.3966,45.23189,"Depositional","Island_braided",518.85101,0.14,-0.66,0.15,93.18,997.7482,3,260.3954,16.7484,3424.1464,5,367.6568,57.4783,4,207.6051,25.7733,0.7696,1.1225,485.5929,5957.2806,835.6574,12.2681,1,0.118,0.2743,11.7616,NA,0.6178,1.0297,0.8237,0.2494,0.5335,0,0,0,0,0,0.2617,3,49,98,74.9,0.5061,0,0,99.4939,0,0.5061,0,0,12,12,2.47120581870122,1.5979,35.4808,24.2841,38.6371,18.6858867982684,0.144905961146829,0.238761041672824,18.3022197954487,8.193,9.4,6,1.23560290935061,0.0193577789131596,0.00137529194109138
"20","Upper Grande Ronde","CBW05583-490810","2014-06-23","Columbia River Inter-Tribal Fish Commission",2024,"Upper Grande Ronde Chinook","Sheep Creek",2014,-118.4618,45.04649,"Transport","Pool-riffle",43.26,-0.14,-0.63,0.28,8.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0502,1.2052,128.3242,601.3406,87.4005,4.6861,1,0.1223,0.3218,4.036,NA,NA,NA,NA,0.244,NA,NA,NA,NA,NA,NA,0.1251,11,29,65,51.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0976967626676,NA,0.970555780418397,24.1271409822492,6.929,12.6,22,17.1440772667977,0.0981888061643868,0.0115225880308098
"21","Upper Grande Ronde","dsgn4-000009","2014-06-30","Columbia River Inter-Tribal Fish Commission",2025,"Upper Grande Ronde Chinook","Grande Ronde River",2014,-118.29779,45.05513,"Transport","Pool-riffle",64.379,-0.79,-1.12,0.46,NA,374.8454,4,167.6452,34.432,664.3925,4,199.451,61.0289,1,19.2474,4.5391,0.7889,1.0684,167.1042,1088.6525,386.3437,6.5148,1,0.1629,0.1757,6.4941,NA,2.3937,2.3937,0.5984,0.4585,0.47,0,0,0,0,0,1.2204,0.6985,28,72,33.4,5.4378,3.2604,0,84.9529,6.7151,15.4133,0,0,9,9,5.38586103760408,4.4781,27.8976,34.3639,33.2603,10.6958333616889,0.0481998852877014,4.00124078855851,6.64639268784274,10.023,25,31,18.5512991295252,0.149607251044558,0.00920679463832582
"22","Upper Grande Ronde","dsgn4-000202","2014-09-07","Columbia River Inter-Tribal Fish Commission",2026,"Upper Grande Ronde Chinook","Grande Ronde River",2014,-118.39174,45.24225,"Depositional","Island_braided",530.34198,0.14,-0.66,0.15,NA,1387.297,8,306.0265,31.3212,1746.2824,6,214.1647,39.426,4,187.5262,23.7073,0.6663,1.1439,444.3937,4429.285,724.8801,9.967,1.1403,0.1279,0.2682,9.4354,2.2997,1.8002,1.3502,0.9001,0.277,0.3313,0,245.6238,5.5455,0.4501,17.1627,0.3076,29,54,97,81.6,0.8136,1.7053,0,97.3826,0.0985,2.6174,765.195,17.2759,18,18,4.05046246155155,5.268,54.1951,8.7416,31.7954,5.49386015296515,NA,2.66026138915167,1.94778744522567,24.999,13.2,12,2.70030830770103,0.0297033913847113,0.00564402606741269
"23","Upper Grande Ronde","dsgn4-000245","2014-07-28","Columbia River Inter-Tribal Fish Commission",2027,"Upper Grande Ronde Chinook","Grande Ronde River",2014,-118.36503,45.26978,"Depositional","Island_braided",1012.41101,0.44,0.39,-0.29,NA,635.8414,3,225.0672,6.142,6416.0568,7,1070.5199,61.977,6,710.9118,31.881,0.5104,1.7596,609.4958,10352.3145,2006.4984,16.985,1,0.1375,0.3482,16.9898,NA,0.4922,1.1485,0.9844,0.3492,0.3656,0,0,0,0,0,0.6316,29,80,203,75.7,0.0359,4.3256,0,88.1681,7.4704,11.8319,0,0,16,16,2.62512063249657,13.5271,25.6226,16.0881,40.9551,4.40677484704347,0.292011037151171,4.1147638098923,NA,0.3354,1.29,2,0.328140079062071,0.00211650350995036,3.23985520339437e-05
"24","Upper Grande Ronde","dsgn4-000277","2014-08-12","Columbia River Inter-Tribal Fish Commission",2028,"Upper Grande Ronde Chinook","Grande Ronde River",2014,-118.36615,45.13325,"Depositional","Confined",338.52301,0.14,-0.66,0.15,NA,0,0,0,0,3793.4674,4,587.4089,79.5401,3,184.6123,20.4599,1.1243,1.0909,362.6885,4769.2528,772.0212,13.1497,1,0.0843,0.179,13.1163,NA,0,1.1029,0.8272,0.2372,NA,0,0,0,0,0,0.3656,8,68,186,72,2.9119,3.91,0,93.1781,0,6.8219,0,0,7,7,1.93003086670793,7.0092,19.1116,26.2284,31.0402,19.870047317186,10.7640074930682,9.10603982411779,NA,9.033,10.1,22,6.06581129536779,0.027847588219643,0.0018940073799401
"25","CHaMP Training","MOCK2012-000137",NA,"Sitka Technology Group",2029,"Mill Creek","Mill Creek",2014,-118.10337,45.28139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","CHaMP Training","MOCK2012-000138",NA,"Sitka Technology Group",2030,"Spring Creek","Spring Creek",2014,-118.36706,45.38853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CHaMP Training","MOCK2012-000140",NA,"Sitka Technology Group",2032,"Dry Creek","Dry Creek",2014,-118.09335,45.57731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","CHaMP Training","MOCK2012-000126",NA,"Sitka Technology Group",2048,"Spring Creek","Spring Creek",2014,-118.29233,45.34137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","South Fork Salmon","CBW05583-025887","2014-09-07","Quantitative Consultants Inc",2049,"Secesh","Zena Creek",2014,-115.733563,45.048864,NA,NA,NA,NA,NA,NA,NA,536.7144,19,91.7203,62.0275,306.7183,5,37.458,35.4471,2,2.6516,2.5254,3.7157,1.2246,156.5737,865.3903,131.8299,5.527,1.1766,0.1131,0.2546,5.129,2.1847,12.1349,3.1934,1.2774,0.238,0.1631,50.5385,0,5.8407,0,0,0.1778,5,49,84,46.6,7.6323,6.5093,0,85.8583,0,14.1417,0,0,26,26,16.6055985136712,1.4541,14.6489,60.4544,23.4426,12.4607738312904,NA,1.74405516164037,10.71671866965,33.86,52.3,33,21.0763365750442,0.334028000871155,0.039126854091154
"30","South Fork Salmon","CBW05583-029471","2014-09-05","Quantitative Consultants Inc",2050,"Secesh","Secesh River",2014,-115.78033,45.13044,"Depositional","Confined",460.75299,-2.17,-1.89,1.42,251,1641.6988,5,942.463,17.4948,7742.2123,3,2822.336,82.5052,0,0,0,2.8226,1.0199,343.2294,9384.2489,3764.7994,27.341,1.4762,0.2294,0.2926,18.6996,20.3194,1.4568,0.8741,0,0.7244,0.3407,3066.329,0,32.6765,0,0,4.3311,4,98,307,14.1,5.6202,0,0,94.3798,0,5.6202,0,0,8,8,2.33080266434053,58.0004,12.3315,17.1251,12.426,49.6658388136644,NA,46.9372870542053,2.72855175945908,NA,NA,55,16.0242683173411,NA,NA
"31","South Fork Salmon","CBW05583-045010","2014-07-25","Quantitative Consultants Inc",2051,"Secesh","Grouse Creek",2014,-115.83789,45.285239,NA,NA,NA,NA,NA,NA,NA,737.2057,9,245.5821,76.294,229.0643,5,44.7454,23.706,0,0,0,1.8849,1.1135,148.5375,966.282,290.3275,6.5053,1.1324,0.1669,0.3067,6.1127,3.359,6.0591,3.3662,0,0.4402,0.3679,0,0,0,0,0,0.3225,3,32,101,23,21.131,3.0528,0,55.9919,19.8244,44.0081,0,0,14,14,9.42522931919549,0.6453,11.1146,30.67,57.5702,46.567859320088,NA,14.400000436535,32.167858883553,37.304,45.2,136,91.5593705293276,0.304300260876883,0.0386057072366038
"32","South Fork Salmon","CBW05583-073682","2014-08-10","Quantitative Consultants Inc",2052,"Secesh","Grouse Creek",2014,-115.82953,45.29008,"Source","Step-pool",16.652,-1.4,-1.49,1.44,11.62,156.6425,5,34.5205,18.7847,512.0822,6,93.4177,61.4095,1,7.7619,6.2529,4.7893,1.1799,145.9575,754.9117,138.76,5.1721,1.1896,0.1091,0.1878,4.7356,1.946,3.4257,4.1108,0.6851,0.2948,0.2895,0,113.0151,13.5529,1.3703,3.0599,0.2061,23,65,167,21.4,12.5517,5.888,0,78.0642,3.4961,21.9358,217.5,26.0828,12,12,8.22157134782385,19.643,32.9673,7.8515,39.5383,21.2257348679988,0.176164808050048,11.4422262960976,8.78856617850928,11.08,21.75,78,53.440213760855,0.149015980679307,0.0146772132422905
"33","South Fork Salmon","CBW05583-079506","2014-08-22","Quantitative Consultants Inc",2053,"Secesh","Summit Creek",2014,-115.94357,45.20909,"Source","Plane-bed",19.978,-1.15,-2.03,1.1,16.78,483.7839,6,108.4713,55.8876,300.4998,3,39.7429,34.7143,1,14.2415,9.3982,1.2326,1.1505,139.3492,865.6836,162.4557,6.2123,1,0.1174,0.2112,6.1803,NA,4.3057,2.1529,0.7176,0.2806,0.3075,0,0,0,0,0,0.1735,4,44,97,24.6,13.2652,6.3991,0,61.6458,20.168,39.8323,0,0,10,10,7.17621629690016,6.0945,14.7058,26.3096,52.8901,38.2451049383082,0.180164055498067,8.78329222984206,29.281648652968,12.071,24.9,69,49.5158924486111,0.178687785792814,0.0139438935888355
"34","South Fork Salmon","CBW05583-087698","2014-07-12","Quantitative Consultants Inc",2054,"Secesh","Secesh River",2014,-115.914834,45.271951,NA,NA,NA,NA,NA,NA,NA,1256.3605,7,541.3015,64.8526,680.8945,5,174.589,35.1474,0,0,0,0.5394,1.9015,208.678,1937.628,715.8903,9.2853,1,0.2157,0.2311,9.1499,NA,3.3545,2.396,0,0.5789,0.439,0,0,0,0,0,1.8302,35,56,95,28.9,0,0.8278,0,93.8169,5.3553,6.1831,0,0,12,12,5.7504863953076,1.241,23.8453,15.8093,59.1044,0,NA,NA,NA,46.113,41.05,NA,NA,0.196714555439481,0.0237986858158532
